model,observation,available_blocks,mean_p_plus15,ci95_low,ci95_high
cvae,26,12,0.24994782196936513,2.001677341484373e-17,0.49994782196936516
cvae,27,12,0.22575000328798414,1.1658929004362542e-15,0.47575000328798356
cvae,28,12,0.24999819556544037,6.269539931142237e-17,0.49999819556542274
cvae,29,12,1.348723319868731e-05,7.957005663576144e-15,4.0461424428010076e-05
cvae,30,12,4.470839386619133e-12,2.452460878040968e-16,1.1205129826029699e-11
flow_matching,0,12,0.3333333333333333,0.3333333333333333,0.3333333333333333
flow_matching,1,12,0.006386761694452336,0.004632662224375331,0.008313834811426625
flow_matching,2,12,0.005726814244004455,0.0047991368870654045,0.0067169826666238965
flow_matching,3,12,0.008594532678435195,0.007497921883980156,0.009819616542170225
flow_matching,4,12,0.009994560327280407,0.007775110247986379,0.012443846238338266
flow_matching,5,12,0.01575405334475195,0.014167277084589674,0.017440731857856762
flow_matching,6,12,0.027192275919909015,0.024568448700176302,0.02997931572777183
flow_matching,7,12,0.03782938743973358,0.032832626834344444,0.04292355046339666
flow_matching,8,12,0.04733536096983337,0.039701141406945764,0.05514172257414193
flow_matching,9,12,0.05700175339788565,0.046776626475785614,0.06731079229246203
flow_matching,10,12,0.0670559043941234,0.05342907238797998,0.08085416840210419
flow_matching,11,12,0.3451027387885934,0.30004298710387955,0.39163359390797753
flow_matching,12,12,0.49176601833833594,0.4127185731584592,0.5679520952460904
flow_matching,13,12,0.7571403342078605,0.6629364941739677,0.8379393917594775
flow_matching,14,12,0.987117609472245,0.9749285720748598,0.996359351518691
flow_matching,15,12,0.9998372328265654,0.9996564699244979,0.9999724625744287
flow_matching,16,12,0.9999787183765174,0.9999442530885813,0.9999990915176893
flow_matching,17,12,0.9999950587767229,0.9999867446614314,0.9999999904079852
flow_matching,18,12,0.5834644138980242,0.3334115962866552,0.8334253501059729
flow_matching,19,12,0.08330801816599552,7.88392490267849e-14,0.24992402637306707
flow_matching,20,12,0.12996792415945768,0.017543490720810812,0.302433956015586
flow_matching,21,12,0.5326535568530468,0.2881062081373204,0.7735866674457601
flow_matching,22,12,0.7370109918552377,0.4888381541603701,0.9734136134139187
flow_matching,23,12,0.8067968189266349,0.5831364302959217,0.9997945105060896
flow_matching,24,12,0.7396888826464436,0.4910501101149788,0.9765200115571124
flow_matching,25,12,0.5423605907780625,0.2819757855384987,0.8006321573323896
flow_matching,26,12,0.33256400788083434,0.08429670676567509,0.5829921859058725
flow_matching,27,12,0.2619858974420634,0.050947503563745056,0.5097193644914386
flow_matching,28,12,0.18850341018327033,0.001016602941386001,0.416108386033684
flow_matching,29,12,0.04070684378214005,0.0008053791353351301,0.10218389839152708
flow_matching,30,12,0.005451121972214816,0.00037762261059117613,0.013746026114296357
