model,trial_id,source_episode_id,switched,observation,p_minus15,p_flat,p_plus15
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,1,0.004585206107595336,0.9925263639158974,0.0028884299765071916
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,2,0.012193358193322958,0.9834424287174313,0.0043642130892458785
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,3,0.03453255472471441,0.9563778508594617,0.009089594415823979
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,4,0.03424221264225423,0.9567492561063147,0.009008531251431069
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,5,0.02387930920600792,0.957618057927135,0.01850263286685709
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,6,0.028702580525072227,0.9425638286915347,0.028733590783392986
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,7,0.03348090398751267,0.9253676156458234,0.04115148036666405
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,8,0.039821554045027414,0.90772089227796,0.0524575536770127
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,9,0.04495584050151162,0.8905505036548731,0.06449365584361512
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,10,0.0509110605079002,0.8728148962777115,0.0762740432143884
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,11,0.002989710967771551,0.6940585348224837,0.3029517542097447
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,12,0.00034145770239187695,0.580937379619265,0.4187211626783432
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,13,6.8743226123858394e-06,0.24028384747883536,0.7597092781985523
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,14,3.8185185834715505e-09,0.002188254135349381,0.997811742046132
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,15,2.0930822419810914e-13,2.5486340916207423e-06,0.9999974513656991
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,16,2.9402907112502785e-17,4.012076264846326e-08,0.9999999598792373
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,17,1.9746698305141863e-23,2.5690271248533768e-11,0.9999999999743097
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,18,3.938390674736276e-31,2.470488041389032e-07,0.9999997529511958
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,19,2.6365853228628754e-05,0.9999736341467713,3.042358297448716e-27
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,20,1.4412063153095806e-06,0.7718743981155961,0.22812416067808855
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,21,1.039867397276625e-08,0.00034123019891011406,0.999658759402416
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,22,5.686460187233504e-07,3.696403647429305e-05,0.9999624673175069
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,23,9.894689147524274e-05,0.0010341986117205226,0.9988668544968042
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,24,0.03291512423340987,0.1073814015639256,0.8597034742026645
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,25,0.8764544967772838,0.11988496602595261,0.0036605371967635427
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,26,0.9828713251988807,0.016972331991233887,0.00015634280988552246
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,27,0.9987483161229858,0.001242446507165952,9.23736984831387e-06
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,28,0.9953934021900273,0.004340260511510675,0.0002663372984619414
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,29,0.9974057465679868,0.0024693749468340776,0.00012487848517913667
flow_matching,test_c4_side-1_episode40200_switch_10,40200,True,30,0.9970341221232879,0.002759311745091702,0.00020656613162043245
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,1,0.010093045166580208,0.9724946253856368,0.01741232944778306
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,2,0.011363913044590387,0.9770877016254262,0.011548385329983374
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,3,0.019812846698852,0.9739674189109506,0.006219734390197448
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,4,0.01721864574043004,0.9779509711452042,0.004830383114365747
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,5,0.01848157714857841,0.9680284358123007,0.013489987039120932
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,6,0.02806261445639413,0.9384961083675349,0.03344127717607104
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,7,0.03803338257308631,0.9122371959805287,0.04972942144638514
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,8,0.048324692458681595,0.8881960644682321,0.06347924307308637
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,9,0.046054180969394336,0.8706639315874499,0.0832818874431557
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,10,0.04830849341401535,0.8536077509414357,0.09808375564454894
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,11,0.04832166263577399,0.8365241869172818,0.1151541504469442
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,12,0.050707303920580045,0.820318205776208,0.12897449030321192
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,13,0.053524593524126834,0.8049730029473167,0.14150240352855661
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,14,0.05431714765861738,0.7939590913911173,0.1517237609502653
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,15,0.059280928260419544,0.7862469958040785,0.15447207593550188
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,16,0.054500821475459045,0.7844191001012524,0.16108007842328856
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,17,0.05394024462655666,0.7879595618845693,0.15810019348887397
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,18,0.056085658919418094,0.7875087053988511,0.15640563568173074
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,19,0.05334931044381264,0.7889445334802314,0.15770615607595603
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,20,0.05738257142970579,0.8011167990506691,0.14150062951962517
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,21,0.05741891943919995,0.8164307846849985,0.12615029587580154
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,22,0.04863555483280747,0.8421480389593594,0.1092164062078332
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,23,0.042273707166144085,0.8648471823335846,0.09287911050027127
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,24,0.0402812601829695,0.8790116763771314,0.08070706343989907
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,25,0.03808980687912826,0.8942452182683133,0.06766497485255843
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,26,0.0368780556275387,0.9039258900749088,0.05919605429755254
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,27,0.03754249027939436,0.9090566666562201,0.05340084306438557
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,28,0.04218680317488288,0.9180744047227916,0.03973879210232551
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,29,0.045535158708166136,0.9218147813621352,0.03265005992969866
flow_matching,test_c4_side-1_episode40201_no_switch,40201,False,30,0.047368213388061846,0.9300702415417434,0.02256154507019475
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,1,0.01714707620332536,0.9696621246187223,0.013190799177952293
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,2,0.01326547561840662,0.9775314559085303,0.009203068473062969
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,3,0.024319329285832643,0.969998482090998,0.005682188623169407
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,4,0.021369022968166344,0.9744521055875093,0.00417887144432433
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,5,0.0185891449163813,0.9669504987261258,0.014460356357492779
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,6,0.032292127773538765,0.9358851709745528,0.03182270125190841
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,7,0.041821169729736575,0.9100427728455901,0.048136057424673376
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,8,0.045952561230322306,0.8877976731304635,0.06624976563921407
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,9,0.049721709250258116,0.8681622611583447,0.08211602959139712
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,10,0.047844121295593435,0.8520427793612965,0.10011309934311018
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,11,0.004922487091349055,0.6809764506102789,0.3141010622983722
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,12,0.0006340352577426179,0.6097086855253185,0.38965727921693893
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,13,1.051900987816936e-05,0.2743620782933715,0.7256274026967503
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,14,7.212707006460001e-09,0.003630875781160756,0.9963691170061322
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,15,1.7416361589108145e-12,7.158922773087216e-06,0.9999928410754853
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,16,7.874775487909535e-17,5.407852828547133e-08,0.9999999459214717
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,17,1.2136520378773478e-20,3.2686864513034525e-10,0.9999999996731312
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,18,6.899439861318355e-37,1.6367424723341503e-11,0.9999999999836326
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,19,1.0790720379876223e-07,0.9999998920927962,1.6500355484151042e-22
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,20,1.343418947064462e-07,0.869266246419354,0.13073361923875115
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,21,1.8471359433235739e-09,0.00033153621867637996,0.9996684619341877
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,22,0.0006372413824033192,0.0040320777424856236,0.995330680875111
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,23,0.2561564953330524,0.0610398744984649,0.6828036301684828
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,24,0.8993688856667046,0.08331622426432907,0.017314890068966388
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,25,0.9905066115457708,0.009470702532010078,2.268592221914752e-05
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,26,0.9990431971305168,0.0009535525362066064,3.2503332765148965e-06
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,27,0.9990207049468843,0.0009720300960299364,7.264957085592222e-06
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,28,0.9981125658597559,0.0018140003455313118,7.343379471270378e-05
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,29,0.9957255794891459,0.0039042806731113475,0.00037013983774277805
flow_matching,test_c4_side-1_episode40201_switch_10,40201,True,30,0.9962844541320809,0.003382740387182432,0.0003328054807367029
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,1,0.011933837850930825,0.9802465941012332,0.00781956804783598
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,2,0.017255265189785814,0.9760376560042363,0.006707078805977928
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,3,0.009073249752088534,0.9834392913717603,0.0074874588761510465
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,4,0.007972227207153376,0.9824290447438739,0.009598728048972625
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,5,0.014179577919853139,0.9736762080478693,0.012144214032277539
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,6,0.0298600431095171,0.9494767420464258,0.020663214844057146
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,7,0.048294561211278834,0.924210040218934,0.02749539856978714
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,8,0.07182132021565397,0.899787784071626,0.028390895712720056
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,9,0.09336445460690179,0.8750569477103197,0.03157859768277847
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,10,0.10994539867394246,0.8538642812287676,0.036190320097290105
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,11,0.12931886911573995,0.8310931765503574,0.03958795433390275
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,12,0.14334002485793018,0.8128743624025828,0.04378561273948699
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,13,0.1570537340393712,0.7962842862171857,0.046661979743443015
