model,reference_trajectory,source_episode_id,prediction_step,valid_endpoints,error_sum_mm
autoregressive,test_c04_side+1,42200,3,48,214.3753891582941
autoregressive,test_c04_side+1,42200,4,48,374.3714597542047
autoregressive,test_c04_side+1,42200,5,48,697.3366639351038
autoregressive,test_c04_side+1,42200,6,48,1251.1297668687964
autoregressive,test_c05_side-1,50200,1,48,152.2867543587614
autoregressive,test_c05_side-1,50200,2,48,370.9423442777463
autoregressive,test_c05_side-1,50200,3,48,881.7715303701132
autoregressive,test_c05_side-1,50200,4,48,1495.831051068981
autoregressive,test_c05_side-1,50200,5,48,2497.981114606152
autoregressive,test_c05_side-1,50200,6,46,3266.710355246081
autoregressive,test_c05_side+1,52200,1,48,214.5105044236557
autoregressive,test_c05_side+1,52200,2,48,319.24496413985696
autoregressive,test_c05_side+1,52200,3,48,523.5542463282936
autoregressive,test_c05_side+1,52200,4,48,884.9679006388001
autoregressive,test_c05_side+1,52200,5,48,1411.885854228401
autoregressive,test_c05_side+1,52200,6,48,2103.306124608148
autoregressive,test_c06_side-1,60200,1,48,177.6411330878212
autoregressive,test_c06_side-1,60200,2,48,233.8345037080558
autoregressive,test_c06_side-1,60200,3,48,417.04428101521415
autoregressive,test_c06_side-1,60200,4,48,687.4046726438049
autoregressive,test_c06_side-1,60200,5,48,976.6228916975646
autoregressive,test_c06_side-1,60200,6,48,1431.0490512162096
autoregressive,test_c06_side+1,62200,1,48,155.8433882783796
autoregressive,test_c06_side+1,62200,2,41,333.4841945753187
autoregressive,test_c06_side+1,62200,3,39,603.773281183559
autoregressive,test_c06_side+1,62200,4,39,1044.512892416833
autoregressive,test_c06_side+1,62200,5,37,1579.2076622383292
autoregressive,test_c06_side+1,62200,6,36,2206.2034519473737
autoregressive,test_c07_side-1,70200,1,48,101.42672659779309
autoregressive,test_c07_side-1,70200,2,48,112.9720537032812
autoregressive,test_c07_side-1,70200,3,48,179.7127644672406
autoregressive,test_c07_side-1,70200,4,48,296.45188528353884
autoregressive,test_c07_side-1,70200,5,48,480.6961568485869
autoregressive,test_c07_side-1,70200,6,48,733.1106692874233
autoregressive,test_c07_side+1,72200,1,48,81.80084730456635
autoregressive,test_c07_side+1,72200,2,48,290.88344792261245
autoregressive,test_c07_side+1,72200,3,48,612.9977113664523
autoregressive,test_c07_side+1,72200,4,48,1205.356883150441
autoregressive,test_c07_side+1,72200,5,48,1985.753889903342
autoregressive,test_c07_side+1,72200,6,48,2903.105885249577
autoregressive,test_c08_side-1,80200,1,48,98.21402306246438
autoregressive,test_c08_side-1,80200,2,48,203.77884672056788
autoregressive,test_c08_side-1,80200,3,48,382.54462560882433
autoregressive,test_c08_side-1,80200,4,48,680.0850694950801
autoregressive,test_c08_side-1,80200,5,48,1211.0072179016936
autoregressive,test_c08_side-1,80200,6,48,1935.802678677002
autoregressive,test_c08_side+1,82200,1,48,242.19388668774286
autoregressive,test_c08_side+1,82200,2,48,512.7657733411332
autoregressive,test_c08_side+1,82200,3,48,1076.8346633659112
autoregressive,test_c08_side+1,82200,4,48,1824.8600291056775
autoregressive,test_c08_side+1,82200,5,48,2668.8474234263467
autoregressive,test_c08_side+1,82200,6,48,3708.5929714348135
cvae,test_c00_side-1,200,1,48,41.16644451534038
cvae,test_c00_side-1,200,2,48,76.55353334671331
cvae,test_c00_side-1,200,3,48,148.26114525912504
cvae,test_c00_side-1,200,4,48,204.0988859646538
cvae,test_c00_side-1,200,5,48,344.233960697452
cvae,test_c00_side-1,200,6,48,558.9207638430797
cvae,test_c00_side+1,2200,1,48,28.88677012303104
cvae,test_c00_side+1,2200,2,48,49.28095760452614
cvae,test_c00_side+1,2200,3,48,81.56562566416021
cvae,test_c00_side+1,2200,4,48,122.21830992986474
cvae,test_c00_side+1,2200,5,48,213.14517660691735
cvae,test_c00_side+1,2200,6,48,358.9943632594347
cvae,test_c01_side-1,10200,1,48,41.05966704864183
cvae,test_c01_side-1,10200,2,48,73.28792835771249
cvae,test_c01_side-1,10200,3,48,144.6024730283454
cvae,test_c01_side-1,10200,4,48,231.8052516459162
cvae,test_c01_side-1,10200,5,48,348.3032874411095
cvae,test_c01_side-1,10200,6,48,521.1921428076112
cvae,test_c01_side+1,12200,1,48,31.912799786820777
cvae,test_c01_side+1,12200,2,48,53.9085703381262
cvae,test_c01_side+1,12200,3,48,69.02556635889982
cvae,test_c01_side+1,12200,4,48,84.60987379332445
cvae,test_c01_side+1,12200,5,48,98.38309879347008
cvae,test_c01_side+1,12200,6,48,141.28327704951468
cvae,test_c02_side-1,20200,1,48,49.91249727080047
cvae,test_c02_side-1,20200,2,48,108.37347988522822
cvae,test_c02_side-1,20200,3,48,202.7675772015392
cvae,test_c02_side-1,20200,4,45,246.21247484036786
cvae,test_c02_side-1,20200,5,43,296.2396234088811
cvae,test_c02_side-1,20200,6,42,448.4919241052577
cvae,test_c02_side+1,22200,1,48,27.524528968514993
cvae,test_c02_side+1,22200,2,48,48.51445084994335
cvae,test_c02_side+1,22200,3,48,82.38999630025204
cvae,test_c02_side+1,22200,4,48,124.72619596798255
cvae,test_c02_side+1,22200,5,48,201.34949219786085
cvae,test_c02_side+1,22200,6,48,304.87570165568764
cvae,test_c03_side-1,30200,1,48,28.30159301529966
cvae,test_c03_side-1,30200,2,48,51.105452315892286
cvae,test_c03_side-1,30200,3,48,80.05879026351101
cvae,test_c03_side-1,30200,4,48,119.17927920241893
cvae,test_c03_side-1,30200,5,48,176.63193936688793
cvae,test_c03_side-1,30200,6,48,272.1923054493972
cvae,test_c03_side+1,32200,1,48,36.45674943213129
cvae,test_c03_side+1,32200,2,48,71.11836943079993
cvae,test_c03_side+1,32200,3,48,145.6890566852982
cvae,test_c03_side+1,32200,4,48,240.17836901390953
cvae,test_c03_side+1,32200,5,48,411.6010088422838
cvae,test_c03_side+1,32200,6,45,580.9021487648679
cvae,test_c04_side-1,40200,1,48,42.21231348672737
cvae,test_c04_side-1,40200,2,48,65.52465705905693
cvae,test_c04_side-1,40200,3,48,90.10237447810216
cvae,test_c04_side-1,40200,4,48,138.32037827907232
cvae,test_c04_side-1,40200,5,48,214.68619465838805
cvae,test_c04_side-1,40200,6,48,276.8752960300321
cvae,test_c04_side+1,42200,1,48,39.932517226621975
cvae,test_c04_side+1,42200,2,48,60.36413267774499
cvae,test_c04_side+1,42200,3,48,79.28230023926297
cvae,test_c04_side+1,42200,4,48,116.10852348002757
cvae,test_c04_side+1,42200,5,48,183.2431235442973
cvae,test_c04_side+1,42200,6,48,240.69059791003528
cvae,test_c05_side-1,50200,1,48,43.56474307056065
cvae,test_c05_side-1,50200,2,48,84.09958021373062
cvae,test_c05_side-1,50200,3,48,156.86091471518895
cvae,test_c05_side-1,50200,4,48,247.83185194785185
cvae,test_c05_side-1,50200,5,48,349.60746582400014
cvae,test_c05_side-1,50200,6,46,561.7905991850827
cvae,test_c05_side+1,52200,1,48,32.01909037758186
cvae,test_c05_side+1,52200,2,48,52.743610661730564
cvae,test_c05_side+1,52200,3,48,89.06157326409537
cvae,test_c05_side+1,52200,4,48,146.56714718330414
cvae,test_c05_side+1,52200,5,48,226.25023961572973
cvae,test_c05_side+1,52200,6,48,294.4763321409374
cvae,test_c06_side-1,60200,1,48,24.34850636338463
cvae,test_c06_side-1,60200,2,48,47.1885836889851
cvae,test_c06_side-1,60200,3,48,63.518132976060464
cvae,test_c06_side-1,60200,4,48,92.27921517213989
cvae,test_c06_side-1,60200,5,48,146.54945253283952
cvae,test_c06_side-1,60200,6,48,213.88209265439673
cvae,test_c06_side+1,62200,1,48,73.61297197335028
cvae,test_c06_side+1,62200,2,41,73.45253217486552
cvae,test_c06_side+1,62200,3,39,145.0694899882632
cvae,test_c06_side+1,62200,4,39,237.32421560553166
cvae,test_c06_side+1,62200,5,37,404.62405752752545
cvae,test_c06_side+1,62200,6,36,610.2701917577276
cvae,test_c07_side-1,70200,1,48,26.019811967794418
cvae,test_c07_side-1,70200,2,48,40.20608171773891
cvae,test_c07_side-1,70200,3,48,57.83587301653039
cvae,test_c07_side-1,70200,4,48,84.03851900383489
cvae,test_c07_side-1,70200,5,48,117.32485551315251
cvae,test_c07_side-1,70200,6,48,179.51638023670677
cvae,test_c07_side+1,72200,1,48,50.13555817701257
cvae,test_c07_side+1,72200,2,48,78.19735165796197
cvae,test_c07_side+1,72200,3,48,144.08965095148505
cvae,test_c07_side+1,72200,4,48,254.44741600252752
cvae,test_c07_side+1,72200,5,48,359.12372039148386
cvae,test_c07_side+1,72200,6,48,534.7728527764688
cvae,test_c08_side-1,80200,1,48,30.533652286775528
cvae,test_c08_side-1,80200,2,48,46.6547846235904
cvae,test_c08_side-1,80200,3,48,64.4822673781001
cvae,test_c08_side-1,80200,4,48,112.7573102978732
cvae,test_c08_side-1,80200,5,48,201.89129932375425
cvae,test_c08_side-1,80200,6,48,332.8811787483568
cvae,test_c08_side+1,82200,1,48,64.62833802184453
cvae,test_c08_side+1,82200,2,48,117.21353128430792
