model,arm,case,trial_seed,lateral_tilt_degrees,success,terminal,source
diffusion,correct,6,106,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_06_rng106/episode_summary.json
diffusion,correct,6,107,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_06_rng107/episode_summary.json
diffusion,correct,6,108,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_06_rng108/episode_summary.json
diffusion,correct,6,109,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_06_rng109/episode_summary.json
diffusion,correct,6,110,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_06_rng110/episode_summary.json
diffusion,correct,7,101,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_07_rng101/episode_summary.json
diffusion,correct,7,102,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_07_rng102/episode_summary.json
diffusion,correct,7,103,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_07_rng103/episode_summary.json
diffusion,correct,7,104,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_07_rng104/episode_summary.json
diffusion,correct,7,105,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_07_rng105/episode_summary.json
diffusion,correct,7,106,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_07_rng106/episode_summary.json
diffusion,correct,7,107,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_07_rng107/episode_summary.json
diffusion,correct,7,108,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_07_rng108/episode_summary.json
diffusion,correct,7,109,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_07_rng109/episode_summary.json
diffusion,correct,7,110,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_07_rng110/episode_summary.json
diffusion,correct,8,101,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_08_rng101/episode_summary.json
diffusion,correct,8,102,15,0,collision,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_08_rng102/episode_summary.json
