budget_ms,budget_violation_rate,calibrated_K,collision_rate,episode_length_mean,episodes,experiment,fall_out_rate,final_distance_mean,model,planning_mean_sec,planning_p50_sec,planning_p90_sec,proposal_p50_sec,proposal_p90_sec,scoring_p50_sec,scoring_p90_sec,step_count,steps,success_rate,timeout_rate,variant,wall_p50_sec,wall_p90_sec
100,0.004909983633387889,32,0.0,33.94444444444444,18,heldout_start_goal,0.0,0.08872092763582866,cvae_aif,0.08786527592072998,0.09393862704746425,0.09488973603583872,0.0002032340271398425,0.0002094759838655591,0.09364968095906079,0.09460521803703159,611,611,1.0,0.0,generator_aif_score_equal_wall_clock,0.09465408104006201,0.09560966794379056
1000,0.0,256,0.0,33.888888888888886,18,heldout_start_goal,0.0,0.08511211764481333,cvae_aif,0.6973170690164047,0.7465697879670188,0.7585975592024624,0.0005898759700357914,0.0007068059989251197,0.7458334194961935,0.7578048391267658,610,610,1.0,0.0,generator_aif_score_equal_wall_clock,0.7493040779954754,0.761492116143927
250,0.0,64,0.0,33.611111111111114,18,heldout_start_goal,0.0,0.08781948354509142,cvae_aif,0.17461992026814682,0.18775336001999676,0.18939534744713454,0.0002544010058045387,0.00026427165139466526,0.18738055403809994,0.18905151276849208,605,605,1.0,0.0,generator_aif_score_equal_wall_clock,0.18869048298802227,0.1903443404007703
50,0.001607717041800643,16,0.0,34.55555555555556,18,heldout_start_goal,0.0,0.09976845731337865,cvae_aif,0.04399238037371445,0.047200009517837316,0.047609136824030424,0.00017591245705261827,0.00018057019915431737,0.04694435646524653,0.04735433328896761,622,622,1.0,0.0,generator_aif_score_equal_wall_clock,0.04779741051606834,0.048210079793352636
500,0.0,128,0.0,33.55555555555556,18,heldout_start_goal,0.0,0.08525830590062672,cvae_aif,0.3484337223618174,0.3743480370612815,0.3780620765173808,0.0003595600137487054,0.00042048492468893544,0.3738435074919835,0.3774967075325548,604,604,1.0,0.0,generator_aif_score_equal_wall_clock,0.37574191304156557,0.3794853603001684
100,1.0,1,0.05555555555555555,69.33333333333333,18,heldout_start_goal,0.05555555555555555,0.33903462232814896,diffusion_policy_aif,0.10959364940600398,0.10964860051171854,0.1099950586212799,0.1062304344959557,0.10650643456028774,0.0033152014948427677,0.0033965612994506953,1248,1248,0.3888888888888889,0.5,generator_aif_score_equal_wall_clock,0.11014758003875613,0.11050169401569292
1000,0.0,16,0.1111111111111111,41.611111111111114,18,heldout_start_goal,0.0,0.18720963928434584,diffusion_policy_aif,0.8098185450610803,0.8121754910098389,0.8128837523981929,0.7649792650481686,0.7654472878435626,0.047189148026518524,0.04765057226177305,749,749,0.8888888888888888,0.0,generator_aif_score_equal_wall_clock,0.8128770079929382,0.8135911172255874
250,0.007223942208462332,4,0.0,53.833333333333336,18,heldout_start_goal,0.05555555555555555,0.1348154159883658,diffusion_policy_aif,0.2485021701226995,0.24896112200804055,0.24929434661753475,0.23673984792549163,0.23693472158629447,0.012172635993920267,0.012354604224674404,969,969,0.9444444444444444,0.0,generator_aif_score_equal_wall_clock,0.24953211098909378,0.24986974205821755
50,1.0,1,0.05555555555555555,69.33333333333333,18,heldout_start_goal,0.05555555555555555,0.33903462232814896,diffusion_policy_aif,0.10988036317744096,0.10992766648996621,0.11024268524488434,0.10651895246701315,0.10674356048693881,0.0033209375105798244,0.0034009739756584167,1248,1248,0.3888888888888889,0.5,generator_aif_score_equal_wall_clock,0.11042529251426458,0.11075248249107972
500,0.0,8,0.0,53.5,18,heldout_start_goal,0.05555555555555555,0.14609405977858436,diffusion_policy_aif,0.4357736921243743,0.436798605020158,0.43734765916597096,0.4130217800848186,0.4133289895951748,0.023783548967912793,0.024094030936248602,963,963,0.8888888888888888,0.05555555555555555,generator_aif_score_equal_wall_clock,0.43741749599575996,0.437968729948625
