budget_ms,calibrated_K,calibration_over_budget,calibration_planning_mean_sec,calibration_planning_p50_sec,calibration_planning_p90_sec,calibration_run_dir,calibration_step_count,experiment,model
50,16,False,0.04748881320701912,0.047463248018175364,0.04781199139542878,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/bc_mdn_aif/K16,10,id_n_sweep,bc_mdn_aif
100,32,False,0.09442975980928167,0.09432889497838914,0.09506717872573063,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/bc_mdn_aif/K32,10,id_n_sweep,bc_mdn_aif
250,64,False,0.1882184581249021,0.1883710024994798,0.18901525184046478,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/bc_mdn_aif/K64,10,id_n_sweep,bc_mdn_aif
500,128,False,0.37922481329878793,0.3763458359753713,0.3812508885399439,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/bc_mdn_aif/K128,10,id_n_sweep,bc_mdn_aif
1000,256,False,0.7546204646117985,0.7516405490459874,0.7581201721448451,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/bc_mdn_aif/K256,10,id_n_sweep,bc_mdn_aif
50,8,False,0.04630832147086039,0.04633946646936238,0.04655846714740619,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K8,10,id_n_sweep,cem_aif
100,16,False,0.09237014201935381,0.0923747579799965,0.09292227256810293,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K16,10,id_n_sweep,cem_aif
250,32,False,0.18689294912619517,0.1841553460690193,0.18789875984657556,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K32,10,id_n_sweep,cem_aif
500,64,False,0.3656821607029997,0.365625488513615,0.36739575623068954,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K64,10,id_n_sweep,cem_aif
1000,128,False,0.7340376175940037,0.730942459020298,0.7375657779164613,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cem_aif/K128,10,id_n_sweep,cem_aif
50,16,False,0.04723756111925468,0.04721096548018977,0.04753180503612384,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cvae_aif/K16,10,id_n_sweep,cvae_aif
100,32,False,0.09424587721005082,0.0942000814829953,0.0952368106576614,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cvae_aif/K32,10,id_n_sweep,cvae_aif
250,64,False,0.19094130650628358,0.18838624702766538,0.19196018883958457,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cvae_aif/K64,10,id_n_sweep,cvae_aif
500,128,False,0.3743750900030136,0.37447048001922667,0.37631521336734297,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cvae_aif/K128,10,id_n_sweep,cvae_aif
1000,256,False,0.7545865630963817,0.7496764464885928,0.7794598796637728,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/cvae_aif/K256,10,id_n_sweep,cvae_aif
50,1,True,0.10879772891057655,0.10872555652167648,0.10905762383481488,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/diffusion_policy_aif/K1,10,id_n_sweep,diffusion_policy_aif
100,1,True,0.10879772891057655,0.10872555652167648,0.10905762383481488,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/diffusion_policy_aif/K1,10,id_n_sweep,diffusion_policy_aif
250,4,False,0.24801474440610036,0.24797346151899546,0.24831003196304666,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/diffusion_policy_aif/K4,10,id_n_sweep,diffusion_policy_aif
500,8,False,0.43552607942838223,0.43548787105828524,0.43584400971885773,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/diffusion_policy_aif/K8,10,id_n_sweep,diffusion_policy_aif
1000,16,False,0.810653937025927,0.8101552235311829,0.8121969084022567,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/diffusion_policy_aif/K16,10,id_n_sweep,diffusion_policy_aif
50,8,False,0.0298246483085677,0.0297763179987669,0.02994780894368887,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/flow_matching_aif/K8,10,id_n_sweep,flow_matching_aif
100,16,False,0.056329285027459264,0.0562460795044899,0.05658812462352217,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/flow_matching_aif/K16,10,id_n_sweep,flow_matching_aif
250,64,False,0.21491642309119924,0.2149933974724263,0.21614302499219776,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/flow_matching_aif/K64,10,id_n_sweep,flow_matching_aif
500,128,False,0.4298942659050226,0.4274378219852224,0.4314663139055483,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/flow_matching_aif/K128,10,id_n_sweep,flow_matching_aif
1000,256,False,0.853907214582432,0.8511196554172784,0.8571164885303005,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/flow_matching_aif/K256,10,id_n_sweep,flow_matching_aif
50,2,False,0.04670414509018883,0.046590071462560445,0.04710064881946892,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/transformer_aif/K2,10,id_n_sweep,transformer_aif
100,4,False,0.07408468087669462,0.07398399349767715,0.07429183220956476,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/transformer_aif/K4,10,id_n_sweep,transformer_aif
250,16,False,0.2405533332959749,0.24044384196167812,0.24096199901541696,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/transformer_aif/K16,10,id_n_sweep,transformer_aif
500,32,False,0.4616242053103633,0.4616516850073822,0.46208989396691325,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/transformer_aif/K32,10,id_n_sweep,transformer_aif
1000,64,False,0.9063529134029522,0.9061702805338427,0.9078003498725593,outputs/equal_wall_clock_cpu/calibration_runs/id_n_sweep/transformer_aif/K64,10,id_n_sweep,transformer_aif
