K,collision_rate,episodes,fall_out_rate,mean_best_of_K_G_total,mean_both_side_routes_covered,mean_center_route_fraction,mean_episode_length,mean_feasible_proposal_rate,mean_feasible_side_route_coverage,mean_final_distance_to_goal,mean_invalid_action_fraction,mean_invalid_route_fraction,mean_left_route_fraction,mean_planning_time_per_decision,mean_proposal_time_per_decision,mean_right_route_fraction,mean_rollout_scoring_time_per_decision,mean_route_entropy,mean_total_planning_time_per_episode,mean_total_wall_clock_time_per_episode,mean_wall_clock_time_per_decision,model,success_rate,timeout_rate,variant
8,0.0,18,0.1111111111111111,10.31390500251338,0.0,0.3390788173078158,51.44444444444444,0.948197208270926,0.0,0.2765819426212046,0.0,0.051802791729073955,0.26621882876107145,0.052053550000293186,0.029623132442969533,0.34289956220203877,0.02232208962291171,0.1450959287397897,2.675943436783402,2.70525874450363,0.0526244559734434,transformer_aif,0.8888888888888888,0.0,gated_hybrid
128,0.1111111111111111,18,0.2777777777777778,20.610352411505602,0.0,0.2953103727490448,40.27777777777778,0.8244041464537671,0.0,0.6269080340862274,0.0,0.1755958535462329,0.1992280565889914,0.34614466212498257,0.0007476755749873077,0.3298657171157309,0.3452810859507968,0.12588143660441886,14.009038055422328,14.083774196579018,0.3480032943452152,bc_mdn_aif,0.6111111111111112,0.0,generator_aif_score
128,0.0,18,0.0,7.364095091192608,0.0,0.2906179799357478,39.22222222222222,0.9212621820679904,0.0,0.1382627615498172,0.0,0.07873781793200953,0.3086997694247745,0.3521182692025418,0.00039059387712501266,0.32194443270746814,0.35161115692557343,0.20192366766633954,13.855275949136638,13.929862656210187,0.35401871169843474,cvae_aif,0.9444444444444444,0.05555555555555555,generator_aif_score
128,0.0,18,0.0,7.15506388967109,0.0,0.12377267312162493,41.55555555555556,0.9998835989411137,0.0,0.09828005648321575,0.0,0.00011640105888624958,0.3403566743808784,0.4112351620230941,0.0500545536349525,0.5357542514386106,0.3610611354991263,0.06893016606585409,17.11722176425974,17.203689331968135,0.4133177205216112,diffusion_policy_aif,1.0,0.0,generator_aif_score
128,0.16666666666666666,18,0.0,15.405000469996939,0.0,0.2766215482381077,36.05555555555556,0.8390366052588433,0.0,0.25811049963037175,0.0,0.16096339474115667,0.16058525059329287,0.35357813379033604,0.0038595264089417644,0.40182980642744265,0.349567279654599,0.15892110625465702,12.83410622590519,12.90590685926145,0.3555533758500878,flow_matching_aif,0.7777777777777778,0.05555555555555555,generator_aif_score
128,0.16666666666666666,18,0.0,15.72793294297061,0.0,0.2628343791624825,36.72222222222222,0.8206975754081437,0.0,0.24995309404200977,0.0,0.1793024245918563,0.20094054625366045,0.36036385334581267,0.014029440014824958,0.3569226499920008,0.34618582963868655,0.11953147810136085,13.260987334144172,13.337133122695377,0.36244197832186686,transformer_aif,0.7777777777777778,0.05555555555555555,generator_aif_score
16,0.3333333333333333,18,0.1111111111111111,28.637074181857876,0.0,0.31429652287092297,32.05555555555556,0.7898602844056436,0.0,0.518829035676188,0.0,0.21013971559435635,0.20552933711021948,0.04336513071593122,0.0006491006322591973,0.27003442442450115,0.042634568512811964,0.12616348083320528,1.402536873534296,1.4237275210228593,0.04402570488219144,bc_mdn_aif,0.5555555555555556,0.0,generator_aif_score
16,0.16666666666666666,18,0.1111111111111111,16.45015815372548,0.0,0.2886974032097421,45.27777777777778,0.891158429341083,0.0,0.5440907689432303,0.0,0.10884157065891696,0.2332784705738763,0.04403076722709386,0.0003145275559397103,0.36918255555746465,0.043634814731800385,0.18086226525195404,2.0092175541309794,2.0363403900895114,0.04463065449848199,cvae_aif,0.6111111111111112,0.1111111111111111,generator_aif_score
16,0.0,18,0.0,7.388091179392875,0.0,0.09336070916273363,44.27777777777778,0.999785405440976,0.0,0.10638569709327486,0.0,0.00021459455902390684,0.34846463299209585,0.06688487180293463,0.0220022734541859,0.5579600632861467,0.04480000706545439,0.05932825661296843,2.9645855465302398,2.9917075594453815,0.06749721047885296,diffusion_policy_aif,1.0,0.0,generator_aif_score
16,0.2222222222222222,18,0.1111111111111111,23.6725301873826,0.0,0.25461350545527867,36.666666666666664,0.8430023560436114,0.0,0.43162477637330693,0.0,0.15699764395638863,0.10466314731020614,0.0465172069960157,0.0029226123173252917,0.48372570327812664,0.04348503955826035,0.14371340426489562,1.7211190459202044,1.7432232063632302,0.047121015717449394,flow_matching_aif,0.6666666666666666,0.0,generator_aif_score
